feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	18513	20585	+					Ac-env-prot	1403855	ACNVgp023	2073		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	18513	20585	+	NP_054052.1			copia-like envelope protein	Ac-env-prot	1403855	ACNVgp023	2073	690	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	20634	21143	-					Ac-pkip	1403856	ACNVgp024	510		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	20634	21143	-	NP_054053.1			protein kinase interacting protein	Ac-pkip	1403856	ACNVgp024	510	169	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	21183	22133	-					AcOrf-25	1403857	ACNVgp025	951		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	21183	22133	-	NP_054054.1			ssDNA binding protein	AcOrf-25	1403857	ACNVgp025	951	316	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	22209	22598	+					AcOrf-26	1403858	ACNVgp026	390		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	22209	22598	+	NP_054055.1			AcOrf-26 peptide	AcOrf-26	1403858	ACNVgp026	390	129	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	22600	23460	+					Ac-IAP1	1403859	ACNVgp027	861		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	22600	23460	+	NP_054056.1			apoptosis inhibitor	Ac-IAP1	1403859	ACNVgp027	861	286	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	23465	23986	+					Ac-lef6	1403860	ACNVgp028	522		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	23465	23986	+	NP_054057.1			late expression factor 6	Ac-lef6	1403860	ACNVgp028	522	173	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	24046	24261	-					AcOrf-29	1403861	ACNVgp029	216		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	24046	24261	-	NP_054058.1			AcOrf-29 peptide	AcOrf-29	1403861	ACNVgp029	216	71	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	24315	25706	-					AcOrf-30	1403862	ACNVgp030	1392		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	24315	25706	-	NP_054059.1			AcOrf-30 peptide	AcOrf-30	1403862	ACNVgp030	1392	463	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	25820	26275	+					Ac-sod	1403863	ACNVgp031	456		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	25820	26275	+	NP_054060.1			superoxide dismutase	Ac-sod	1403863	ACNVgp031	456	151	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	27041	27586	-					Ac-fgf	1403864	ACNVgp032	546		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	27041	27586	-	NP_054061.1			fibroblast growth factor	Ac-fgf	1403864	ACNVgp032	546	181	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	27733	28281	-					Ac-HisP	1403865	ACNVgp033	549		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	27733	28281	-	NP_054062.1			putative histidinol-phosphatase	Ac-HisP	1403865	ACNVgp033	549	182	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	28294	28941	-					AcOrf-34	1403866	ACNVgp034	648		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	28294	28941	-	NP_054063.1			AcOrf-34 peptide	AcOrf-34	1403866	ACNVgp034	648	215	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	28962	29195	+					Ac-v-ubi	1403867	ACNVgp035	234		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	28962	29195	+	NP_054064.1			viral ubiquitin	Ac-v-ubi	1403867	ACNVgp035	234	77	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	29242	30069	-					Ac-39K/pp31	1403868	ACNVgp036	828		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	29242	30069	-	NP_054065.1			nuclear matrix associated phosphoprotein	Ac-39K/pp31	1403868	ACNVgp036	828	275	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	30063	30401	-					Ac-lef11	1403869	ACNVgp037	339		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	30063	30401	-	NP_054066.1			late expression factor 11	Ac-lef11	1403869	ACNVgp037	339	112	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	30364	31014	-					AcOrf-38	1403870	ACNVgp038	651		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	30364	31014	-	NP_054067.1			AcOrf-38 peptide	AcOrf-38	1403870	ACNVgp038	651	216	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	31078	32169	-					Ac-p43	1403871	ACNVgp039	1092		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	31078	32169	-	NP_054068.1			hypothetical protein	Ac-p43	1403871	ACNVgp039	1092	363	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	32177	33382	-					Ac-p47	1403872	ACNVgp040	1206		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	32177	33382	-	NP_054069.1			transcription regulator	Ac-p47	1403872	ACNVgp040	1206	401	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	33381	33926	+					AcOrf-41	1403873	ACNVgp041	546		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	33381	33926	+	NP_054070.1			AcOrf-41 peptide	AcOrf-41	1403873	ACNVgp041	546	181	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	34010	35530	+					Ac-GTA	1403874	ACNVgp042	1521		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	34010	35530	+	NP_054071.1			global transactivator-like protein	Ac-GTA	1403874	ACNVgp042	1521	506	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	35544	35777	+					AcOrf-43	1403875	ACNVgp043	234		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	35544	35777	+	NP_054072.1			AcOrf-43 peptide	AcOrf-43	1403875	ACNVgp043	234	77	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	35758	36153	+					AcOrf-44	1403876	ACNVgp044	396		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	35758	36153	+	NP_054073.1			AcOrf-44 peptide	AcOrf-44	1403876	ACNVgp044	396	131	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	36155	36733	+					AcOrf-45	1403877	ACNVgp045	579		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	36155	36733	+	NP_054074.1			AcOrf-45 peptide	AcOrf-45	1403877	ACNVgp045	579	192	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	36718	38832	+					Ac-odv-e66	1403878	ACNVgp046	2115		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	36718	38832	+	NP_054075.1			occlusion-derived virus envelope protein	Ac-odv-e66	1403878	ACNVgp046	2115	704	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	38938	39204	-					AcOrf-47	1403879	ACNVgp047	267		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	38938	39204	-	NP_054076.1			AcOrf-47 peptide	AcOrf-47	1403879	ACNVgp047	267	88	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	39278	39619	-					AcOrf-48	1403880	ACNVgp048	342		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	39278	39619	-	NP_054077.1			AcOrf-48 peptide	AcOrf-48	1403880	ACNVgp048	342	113	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	39643	40413	-					Ac-pcna	1403881	ACNVgp049	771		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	39643	40413	-	NP_054078.1			proliferating cell nuclear antigen	Ac-pcna	1403881	ACNVgp049	771	256	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	40523	43153	-					Ac-lef8	1403882	ACNVgp050	2631		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	40523	43153	-	NP_054079.1			late expression factor 8	Ac-lef8	1403882	ACNVgp050	2631	876	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	43180	44136	+					AcOrf-51	1403883	ACNVgp051	957		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	43180	44136	+	NP_054080.1			AcOrf-51 peptide	AcOrf-51	1403883	ACNVgp051	957	318	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	44339	44710	-					AcOrf-52	1403884	ACNVgp052	372		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	44339	44710	-	NP_054081.1			AcOrf-52 peptide	AcOrf-52	1403884	ACNVgp052	372	123	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	44712	45131	+					AcOrf-53	1403885	ACNVgp053	420		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	44712	45131	+	NP_054082.1			AcOrf-53 peptide	AcOrf-53	1403885	ACNVgp053	420	139	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	45128	45364	+					Ac-lef10	1403886	ACNVgp054	237		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	45128	45364	+	NP_054083.1			late expression factor 10	Ac-lef10	1403886	ACNVgp054	237	78	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	45222	46319	+					AcOrf-54	1403887	ACNVgp055	1098		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	45222	46319	+	NP_054084.1			viral capsid associated protein	AcOrf-54	1403887	ACNVgp055	1098	365	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	46411	46632	+					AcOrf-55	1403888	ACNVgp056	222		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	46411	46632	+	NP_054085.1			AcOrf-55 peptide	AcOrf-55	1403888	ACNVgp056	222	73	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	46634	46888	+					AcOrf-56	1403889	ACNVgp057	255		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	46634	46888	+	NP_054086.1			AcOrf-56 peptide	AcOrf-56	1403889	ACNVgp057	255	84	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	47073	47558	+					AcOrf-57	1403890	ACNVgp058	486		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	47073	47558	+	NP_054087.1			AcOrf-57 peptide	AcOrf-57	1403890	ACNVgp058	486	161	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	47574	47747	-					AcOrf-58	1403891	ACNVgp059	174		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	47574	47747	-	NP_054088.1			AcOrf-58 peptide	AcOrf-58	1403891	ACNVgp059	174	57	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	47882	48091	-					AcOrf-59	1403892	ACNVgp060	210		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	47882	48091	-	NP_054089.1			AcOrf-59 peptide	AcOrf-59	1403892	ACNVgp060	210	69	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	48103	48366	-					AcOrf-60	1403893	ACNVgp061	264		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	48103	48366	-	NP_054090.1			AcOrf-60 peptide	AcOrf-60	1403893	ACNVgp061	264	87	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	48513	49157	-					Ac-FP	1403894	ACNVgp062	645		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	48513	49157	-	NP_054091.1			FP protein	Ac-FP	1403894	ACNVgp062	645	214	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	49184	50734	+					Ac-lef9	1403895	ACNVgp063	1551		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	49184	50734	+	NP_054092.1			late expression factor 9	Ac-lef9	1403895	ACNVgp063	1551	516	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	50795	51262	+					AcOrf-63	1403896	ACNVgp064	468		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	50795	51262	+	NP_054093.1			AcOrf-63 peptide	AcOrf-63	1403896	ACNVgp064	468	155	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	51283	52191	-					Ac-gp37	1403897	ACNVgp065	909		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	51283	52191	-	NP_054094.1			fusolin; spindle body protein	Ac-gp37	1403897	ACNVgp065	909	302	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	52329	55283	-					Ac-DNA-pol	1403898	ACNVgp066	2955		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	52329	55283	-	NP_054095.1			DNA-dependant DNA-polymerase	Ac-DNA-pol	1403898	ACNVgp066	2955	984	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	55292	57718	+					AcOrf-66	1403899	ACNVgp067	2427		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	55292	57718	+	NP_054096.1			AcOrf-66 peptide	AcOrf-66	1403899	ACNVgp067	2427	808	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	57721	58878	-					Ac-lef3	1403900	ACNVgp068	1158		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	57721	58878	-	NP_054097.1			late expression factor 3	Ac-lef3	1403900	ACNVgp068	1158	385	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	58720	59298	+					AcOrf-68	1403901	ACNVgp069	579		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	58720	59298	+	NP_054098.1			AcOrf-68 peptide	AcOrf-68	1403901	ACNVgp069	579	192	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	59276	60064	+					AcOrf-69	1403902	ACNVgp070	789		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	59276	60064	+	NP_054099.1			putative methyl transferase	AcOrf-69	1403902	ACNVgp070	789	262	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	60110	60982	+					AcOrf-70	1403903	ACNVgp071	873		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	60110	60982	+	NP_054100.1			AcOrf-70 peptide	AcOrf-70	1403903	ACNVgp071	873	290	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	61016	61765	+					Ac-IAP2	1403904	ACNVgp072	750		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	61016	61765	+	NP_054101.1			apoptosis inhibitor	Ac-IAP2	1403904	ACNVgp072	750	249	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	61824	62006	+					AcOrf-72	1403905	ACNVgp073	183		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	61824	62006	+	NP_054102.1			AcOrf-72 peptide	AcOrf-72	1403905	ACNVgp073	183	60	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	62015	62314	-					AcOrf-73	1403906	ACNVgp074	300		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	62015	62314	-	NP_054103.1			AcOrf-73 peptide	AcOrf-73	1403906	ACNVgp074	300	99	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	62311	63108	-					AcOrf-74	1403907	ACNVgp075	798		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	62311	63108	-	NP_054104.1			AcOrf-74 peptide	AcOrf-74	1403907	ACNVgp075	798	265	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	63126	63527	-					AcOrf-75	1403908	ACNVgp076	402		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	63126	63527	-	NP_054105.1			AcOrf-75 peptide	AcOrf-75	1403908	ACNVgp076	402	133	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	63543	63797	-					AcOrf-76	1403909	ACNVgp077	255		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	63543	63797	-	NP_054106.1			AcOrf-76 peptide	AcOrf-76	1403909	ACNVgp077	255	84	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	63813	64952	-					Ac-vlf-1	1403910	ACNVgp078	1140		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	63813	64952	-	NP_054107.1			very late expression factor 1	Ac-vlf-1	1403910	ACNVgp078	1140	379	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	64958	65287	-					AcOrf-78	1403911	ACNVgp079	330		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	64958	65287	-	NP_054108.1			AcOrf-78 peptide	AcOrf-78	1403911	ACNVgp079	330	109	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	65290	65604	-					AcOrf-79	1403912	ACNVgp080	315		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	65290	65604	-	NP_054109.1			AcOrf-79 peptide	AcOrf-79	1403912	ACNVgp080	315	104	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	65607	66836	-					Ac-gp41	1403913	ACNVgp081	1230		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	65607	66836	-	NP_054110.1			occlusion-derived virus glycoprotein	Ac-gp41	1403913	ACNVgp081	1230	409	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	66826	67527	-					AcOrf-81	1403914	ACNVgp082	702		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	66826	67527	-	NP_054111.1			AcOrf-81 peptide	AcOrf-81	1403914	ACNVgp082	702	233	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	67376	67918	-					Ac-TLP	1403915	ACNVgp083	543		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	67376	67918	-	NP_054112.1			telokin-like protein-20	Ac-TLP	1403915	ACNVgp083	543	180	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	67884	70427	+					Ac-p95	1403916	ACNVgp084	2544		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	67884	70427	+	NP_054113.1			viral capsid associated protein	Ac-p95	1403916	ACNVgp084	2544	847	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	71165	71731	+					AcOrf-84	1403917	ACNVgp085	567		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	71165	71731	+	NP_054114.1			AcOrf-84 peptide	AcOrf-84	1403917	ACNVgp085	567	188	
gene	protein_coding	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	71934	72095	+					AcOrf-85	1403918	ACNVgp086	162		
CDS	with_protein	GCF_000838485.1	Primary Assembly	segment		NC_001623.1	71934	72095	+	NP_054115.1			AcOrf-85 peptide	AcOrf-85	1403918	ACNVgp086	162	53	
