ATP6	ATP6^ATP6_ANOQU^ATP6_AEDAL^Tm1
LOC118261827	LOC118261827^Tm1
LOC118261828	LOC118261828^sigP^Tm1
LOC118261829	LOC118261829^Tm1
LOC118261830	LOC118261830^EXOC4_DROME
LOC118261831	LOC118261831^PLAP_MOUSE^PLAP_XENLA^WD40^Tm1
LOC118261832	LOC118261832^CATA_HUMAN^Catalase^sigP^Tm1
LOC118261833	LOC118261833^sigP^Tm1
LOC118261834	LOC118261834^CATA_HUMAN^Catalase^sigP^Tm1
LOC118261835	LOC118261835^CATA_RAT^Catalase^sigP^Tm1
LOC118261836	LOC118261836^CATA_HUMAN^Catalase^sigP^Tm1
LOC118261837	LOC118261837^CATA1_CAEEL^CATA_CAVPO^Catalase^Tm1
LOC118261838	LOC118261838^VKGC_DELLE^VKG_Carbox^sigP^Tm1
LOC118261839	LOC118261839^RS4_SPOFR^RS4NT
LOC118261840	LOC118261840^CUO6_BLACR^Chitin_bind_4^sigP
LOC118261841	LOC118261841^BAB2_DROME^TTKA_DROME^BTB^Tm1
LOC118261842	LOC118261842^PCNA_BOMMO^PCNA_N
LOC118261843	LOC118261843^ESTJ_TRICA^COesterase^Tm1
LOC118261844	LOC118261844^CNGA_DROME^Ion_trans^sigP^Tm5
LOC118261845	LOC118261845^sigP
LOC118261846	LOC118261846^ELOVL_DROME^ELO^Tm1
LOC118261847	LOC118261847^ELOV7_MOUSE^ELO^Tm7
LOC118261848	LOC118261848^CUD5_SCHGR^Chitin_bind_4^sigP
LOC118261849	LOC118261849^ELVL1_AEDAE^ELO^Tm7
LOC118261850	LOC118261850^sigP
LOC118261851	LOC118261851^CAD23_HUMAN^Cadherin^Tm1
LOC118261852	LOC118261852^CATA_RAT^Catalase^sigP^Tm1
LOC118261853	LOC118261853^CU16_MANSE^Chitin_bind_4^Tm1
LOC118261854	LOC118261854^IRP4_AGRIP^Insulin^sigP^Tm1
LOC118261855	LOC118261855^IRP4_AGRIP^Insulin^sigP^Tm1
LOC118261856	LOC118261856^THAP^sigP
LOC118261857	LOC118261857^Viral_alk_exo^Tm1
LOC118261858	LOC118261858^ELOV7_BOVIN^ELO^Tm7
LOC118261859	LOC118261859^FOXL2_MOUSE^Forkhead^sigP
LOC118261860	LOC118261860^COPG_DROPS^Adaptin_N^sigP^Tm1
LOC118261861	LOC118261861^THUM1_DROME^THUMP
LOC118261862	LOC118261862^TIL^sigP^Tm2
LOC118261863	LOC118261863^PARP_SARPE^zf-PARP^Tm1
LOC118261864	LOC118261864^PARP_SARPE^PADR1^zf-PARP^sigP^Tm2
LOC118261865	LOC118261865^SMSR1_DROME^PAP2_C^Tm6
LOC118261866	LOC118261866^SH3BG_DROME^SH3BGR
LOC118261867	LOC118261867^PARP1_CHICK^zf-PARP^Tm1
LOC118261868	LOC118261868^CU12_HYACE^Chitin_bind_4^sigP
LOC118261869	LOC118261869^TLR2_DROME^7TM_GPCR_Srsx^Tm7
LOC118261870	LOC118261870^CUD5_SCHGR^Chitin_bind_4^sigP^Tm1
LOC118261871	LOC118261871^SYDM_RAT^tRNA_anti-codon^sigP^Tm1
LOC118261872	LOC118261872^IMPI_GALME^TIL^sigP
LOC118261873	LOC118261873^TBA_XENTR^Tubulin^Tm1
LOC118261874	LOC118261874^LAMC1_DROME^Laminin_N^sigP^Tm1
LOC118261875	LOC118261875^S46A3_CHICK^MFS_1^Tm12
LOC118261876	LOC118261876^ESTJ_TRICA^COesterase^Tm1
LOC118261877	LOC118261877^AFAD_HUMAN^RA^Tm1
LOC118261878	LOC118261878^DUSK3_DROME^Rhodanese
LOC118261879	LOC118261879^GAK_RAT^PK_Tyr_Ser-Thr^sigP^Tm1
LOC118261880	LOC118261880^Tm1
LOC118261881	LOC118261881^KEAP1_PIG^BTB
LOC118261882	LOC118261882^S66A3_MOUSE^PQ-loop^Tm7
LOC118261883	LOC118261883^RANB3_MOUSE^Ran_BP1
LOC118261884	LOC118261884^F-box-like^Tm1
LOC118261885	LOC118261885^DUF4497^sigP^Tm2
LOC118261886	LOC118261886^ISY1_RAT^Isy1^Tm1
LOC118261888	LOC118261888^OR4_AEDAE^OR46B_DROME^7tm_6^Tm1
LOC118261890	LOC118261890^RNF41_XENLA^U-box
LOC118261892	LOC118261892^PERO_DROME^An_peroxidase
LOC118261893	LOC118261893^CP6B6_HELAM^p450^sigP^Tm1
LOC118261894	LOC118261894^DUF4774^sigP^Tm1
LOC118261895	LOC118261895^CUD8_SCHGR^CUD2_SCHGR^Chitin_bind_4^Tm1
LOC118261896	LOC118261896^CUD2_SCHGR^Chitin_bind_4^sigP
LOC118261897	LOC118261897^E78C_DROME^E75_METEN^RARG_NOTVI^zf-C4^sigP
LOC118261898	LOC118261898^CUD6_SCHGR^Chitin_bind_4^sigP
LOC118261899	LOC118261899^FHL2_BOVIN^FHL3_HUMAN^LIM^PET^Tm1
LOC118261900	LOC118261900^ELOV7_HUMAN^ELOV7_BOVIN^ELO^Tm2
LOC118261901	LOC118261901^MYLK_RABIT^FARP^sigP^Tm1
LOC118261902	LOC118261902^RM47_HUMAN^MRP-L47^sigP^Tm2
LOC118261903	LOC118261903^DLP1_HUMAN^polyprenyl_synt^sigP
LOC118261904	LOC118261904^MEC2_CAEEL^Band_7^Tm1
LOC118261905	LOC118261905^STOM_MOUSE^Band_7^Tm1
LOC118261906	LOC118261906^STOM_HUMAN^Band_7^Tm1
LOC118261907	LOC118261907^CU19_LOCMI^Chitin_bind_4^Tm1
LOC118261908	LOC118261908^OBP70_ANOGA^sigP
LOC118261909	LOC118261909^Tm2
LOC118261910	LOC118261910^sigP^Tm1
LOC118261911	LOC118261911^Mab-21^Tm1
LOC118261912	LOC118261912^CGAS_NEMVE^Mab-21
LOC118261913	LOC118261913^ARL8_DROME^Arf
LOC118261915	LOC118261915^TESK1_RAT^PK_Tyr_Ser-Thr
LOC118261916	LOC118261916^CGAS_NEMVE^Mab-21^Tm1
LOC118261917	LOC118261917^CGAS_NEMVE^Mab-21
LOC118261918	LOC118261918^CWO_DROME^HLH^Tm1
LOC118261919	LOC118261919^CPT1A_HUMAN^CPT_N^mono-CXXC^sigP^Tm2
LOC118261921	LOC118261921^ARL8_DROME^Arf
LOC118261923	LOC118261923^KMT2E_MOUSE^PHD^sigP^Tm1
LOC118261925	LOC118261925^sigP^Tm1
LOC118261926	LOC118261926^PGBD3_HUMAN^DDE_Tnp_1_7^F-box-like^sigP
LOC118261927	LOC118261927^EI2BG_RAT^NTP_transferase^Tm1
LOC118261928	LOC118261928^KI18A_HUMAN^Microtub_bd^sigP^Tm2
LOC118261929	LOC118261929^GSTT1_MANSE^GST_N^Tm1
LOC118261930	LOC118261930^GSTT1_MANSE^GST_N
LOC118261931	LOC118261931^GSTT1_MANSE^GST_N
LOC118261932	LOC118261932^GSTT1_MANSE^GST_N
LOC118261935	LOC118261935^MGT4A_MOUSE^Glyco_transf_54^Tm1
LOC118261936	LOC118261936^KI18A_HUMAN^Microtub_bd^sigP^Tm2
LOC118261937	LOC118261937^PER_ANTPE^PAS^sigP^Tm1
LOC118261938	LOC118261938^UNC5_DROME^UNC5C_CHICK^I-set^sigP^Tm2
LOC118261939	LOC118261939^ACH2_BOMMO^Serpin^sigP
LOC118261940	LOC118261940^VGLU1_RAT^MFS_1^Tm1
LOC118261941	LOC118261941^IR21A_DROME^GRID1_HUMAN^Tm2
LOC118261942	LOC118261942^MEC2_CAEEL^Band_7^Tm1
LOC118261943	LOC118261943^STOM_MOUSE^Band_7^Tm1
LOC118261944	LOC118261944^STOM_HUMAN^Band_7^Tm1
LOC118261945	LOC118261945^CU19_LOCMI^Chitin_bind_4^sigP^Tm1
LOC118261946	LOC118261946^INP4A_MOUSE^PH^sigP^Tm2
LOC118261947	LOC118261947^TBA_XENTR^Tubulin^Tm1
LOC118261948	LOC118261948^ELVL1_AEDAE^ELO^Tm7
LOC118261949	LOC118261949^sigP^Tm1
LOC118261950	LOC118261950^IMPI_GALME^TIL^sigP^Tm1
LOC118261951	LOC118261951^IMPI_GALME^TIL^sigP
LOC118261952	LOC118261952^TIL^sigP^Tm1
LOC118261953	LOC118261953^TIL^sigP
LOC118261954	LOC118261954^7tm_1^Tm6
LOC118261955	LOC118261955^NDUAC_CAEEL^NDUFA12
LOC118261956	LOC118261956^ELVL1_AEDAE^ELO^Tm1
LOC118261957	LOC118261957^RNF41_XENLA^U-box
LOC118261958	LOC118261958^CUD5_LOCMI^Chitin_bind_4^sigP
LOC118261959	LOC118261959^CUO6_BLACR^Chitin_bind_4^sigP^Tm1
LOC118261961	LOC118261961^CU19_LOCMI^Chitin_bind_4^sigP^Tm1
LOC118261962	LOC118261962^CU08_LOCMI^CU20_TENMO^Chitin_bind_4^sigP^Tm2
LOC118261963	LOC118261963^CU19_LOCMI^Chitin_bind_4^sigP^Tm1
LOC118261964	LOC118261964^TM208_BOVIN^TM208_DANRE^TMEM208_SND2^Tm1
LOC118261965	LOC118261965^IR40A_DROME^Lig_chan-Glu_bd^sigP^Tm1
LOC118261966	LOC118261966^RDH13_HUMAN^adh_short^Tm2
LOC118261967	LOC118261967^RDH13_HUMAN^adh_short^Tm2
LOC118261968	LOC118261968^RDH13_HUMAN^adh_short^sigP^Tm3
LOC118261969	LOC118261969^RDH13_HUMAN^adh_short^Tm1
LOC118261970	LOC118261970^IMPI_GALME^TIL^sigP^Tm1
LOC118261971	LOC118261971^ACH2_BOMMO^Serpin
LOC118261973	LOC118261973^sigP
LOC118261974	LOC118261974^NCKX4_HUMAN^NCKX5_DANRE^NCKX4_MOUSE^Na_Ca_ex^Tm8
LOC118261975	LOC118261975^TAP_DROME^HLH^Tm1
LOC118261976	LOC118261976^DUS14_MOUSE^DSPc^sigP
LOC118261977	LOC118261977^ELOV4_HUMAN^ELO^Tm7
LOC118261978	LOC118261978^QRIC2_HUMAN^DUF4795^Tm1
LOC118261979	LOC118261979^ELOV7_HUMAN^ELOV7_BOVIN^ELO^Tm8
LOC118261980	LOC118261980^DLDH_MANSE^Pyr_redox_2^Tm2
LOC118261982	LOC118261982^DUF1151^Tm1
LOC118261983	LOC118261983^sigP^Tm1
LOC118261984	LOC118261984^MINP1_DROME^His_Phos_2^sigP
LOC118261985	LOC118261985^ENV_NPVLD^Peptidase_A17^Tm1
LOC118261986	LOC118261986^sigP^Tm1
LOC118261987	LOC118261987^BORA_DROPS^BORA_N^Tm1
LOC118261988	LOC118261988^LIPP_RABIT^Lipase^Tm1
LOC118261989	LOC118261989^KCC2A_DROME^Pkinase^Tm1
LOC118261990	LOC118261990^Tm1
LOC118261991	LOC118261991^CU07_LOCMI^CU19_LOCMI^Chitin_bind_4^sigP^Tm1
LOC118261992	LOC118261992^CU19_LOCMI^Chitin_bind_4^sigP^Tm6
LOC118261993	LOC118261993^CU18A_LOCMI^Chitin_bind_4^sigP^Tm1
LOC118261994	LOC118261994^CU18A_LOCMI^Chitin_bind_4^sigP^Tm1
LOC118261995	LOC118261995^CU19_LOCMI^Chitin_bind_4^sigP^Tm2
LOC118261996	LOC118261996^ORC3_RAT^ORC3_N
LOC118261997	LOC118261997^CAD23_HUMAN^Cadherin^sigP^Tm1
LOC118261998	LOC118261998^PERO_DROME^An_peroxidase^sigP^Tm1
LOC118261999	LOC118261999^CP4D2_DROME^p450^sigP^Tm1
LOC118262000	LOC118262000^TAP_DROME^HLH^Tm1
LOC118262001	LOC118262001^LCA5L_PAPAN^Lebercilin^sigP^Tm1
LOC118262002	LOC118262002^NCKX5_HUMAN^NCKX5_DANRE^Na_Ca_ex^Tm11
LOC118262003	LOC118262003^IMPI_GALME^TIL^sigP
LOC118262004	LOC118262004^CP4V2_HUMAN^CP4V2_PONAB^p450^sigP^Tm2
LOC118262005	LOC118262005^CP4V2_PONAB^p450
LOC118262006	LOC118262006^NUAK1_HUMAN^Pkinase^sigP^Tm1
LOC118262007	LOC118262007^UPP_DANRE^UPRTase
LOC118262008	LOC118262008^SRP72_CANLF^SRP_TPR_like^sigP^Tm1
LOC118262009	LOC118262009^CU198_LOCMI^CUA2B_TENMO^Chitin_bind_4^sigP
LOC118262010	LOC118262010^SMYD4_MOUSE^SMYD4_HUMAN^SET^sigP^Tm1
LOC118262011	LOC118262011^7tm_1^Tm6
LOC118262012	LOC118262012^SPZ5_DROME^Spaetzle^sigP
LOC118262013	LOC118262013^PROC_RABIT^Trypsin^sigP^Tm1
LOC118262014	LOC118262014^ELVL1_AEDAE^ELO^Tm1
LOC118262015	LOC118262015^sigP^Tm2
LOC118262016	LOC118262016^CU21_LOCMI^CU08_LOCMI^Chitin_bind_4^sigP^Tm1
LOC118262017	LOC118262017^sigP^Tm1
LOC118262018	LOC118262018^CU08_LOCMI^Chitin_bind_4^sigP^Tm1
LOC118262019	LOC118262019^CU08_LOCMI^CU01_ANOGA^Chitin_bind_4^sigP^Tm1
LOC118262020	LOC118262020^CU08_LOCMI^Chitin_bind_4^sigP^Tm1
LOC118262022	LOC118262022^CU08_LOCMI^Chitin_bind_4^sigP^Tm1
LOC118262023	LOC118262023^CU07_LOCMI^Chitin_bind_4^Tm5
LOC118262024	LOC118262024^CU01_ANOGA^Chitin_bind_4^sigP^Tm1
LOC118262025	LOC118262025^CU19_LOCMI^Chitin_bind_4^Tm2
LOC118262026	LOC118262026^CU01_ANOGA^Chitin_bind_4^sigP^Tm1
LOC118262027	LOC118262027^CU19_LOCMI^Chitin_bind_4^sigP^Tm2
LOC118262028	LOC118262028^CU07_LOCMI^Chitin_bind_4^sigP^Tm3
LOC118262029	LOC118262029^PPIL1_HUMAN^Pro_isomerase
LOC118262030	LOC118262030^CU19_LOCMI^Chitin_bind_4^sigP^Tm2
LOC118262031	LOC118262031^CU18A_LOCMI^Chitin_bind_4^sigP^Tm1
LOC118262032	LOC118262032^CU18A_LOCMI^Chitin_bind_4^sigP^Tm1
LOC118262033	LOC118262033^CU01_ANOGA^Chitin_bind_4^sigP^Tm1
LOC118262034	LOC118262034^CU07_LOCMI^Chitin_bind_4^sigP^Tm1
LOC118262035	LOC118262035^Chitin_bind_4^sigP^Tm2
LOC118262036	LOC118262036^CU18A_LOCMI^Chitin_bind_4^sigP^Tm6
LOC118262037	LOC118262037^SYDM_RAT^tRNA_anti-codon^sigP^Tm1
LOC118262038	LOC118262038^IMPI_GALME^TIL^sigP
LOC118262039	LOC118262039^GLPK_RAT^FGGY_N^sigP^Tm1
LOC118262040	LOC118262040^sigP^Tm1
LOC118262041	LOC118262041^PCFT_XENLA^MFS_1^sigP^Tm9
LOC118262042	LOC118262042^PCFT_XENLA^MFS_1^sigP^Tm9
LOC118262043	LOC118262043^ELVL1_AEDAE^ELO^Tm1
LOC118262045	LOC118262045^sigP
LOC118262046	LOC118262046^THEM6_DROME^4HBT_2^Tm1
LOC118262047	LOC118262047^CU19_LOCMI^Chitin_bind_4^sigP^Tm1
LOC118262048	LOC118262048^ACKL_DROME^PK_Tyr_Ser-Thr^Tm1
LOC118262049	LOC118262049^CU19_LOCMI^Chitin_bind_4^sigP^Tm1
LOC118262050	LOC118262050^RPGR_CANLF^RCC1_2^sigP^Tm2
LOC118262051	LOC118262051^RSPH3_HUMAN^Radial_spoke_3
LOC118262052	LOC118262052^Tm1
LOC118262053	LOC118262053^INT5_DROME^INTS5_N^Tm1
LOC118262054	LOC118262054^GIPC1_RAT^PDZ^Tm1
LOC118262055	LOC118262055^RL37_SPOFR^Ribosomal_L37e
LOC118262056	LOC118262056^SCOT1_HUMAN^CoA_trans^sigP^Tm1
LOC118262057	LOC118262057^Tetraspanin^Tm1
LOC118262058	LOC118262058^RM20_XENLA^Ribosomal_L20
LOC118262059	LOC118262059^PT117_DANRE^PET117^sigP^Tm1
LOC118262060	LOC118262060^LIPP_MYOCO^Lipase^Tm1
LOC118262061	LOC118262061^SRP72_CANLF^SRP_TPR_like^sigP^Tm1
LOC118262062	LOC118262062^GLNA2_DROME^Gln-synt_C
LOC118262063	LOC118262063^CU07_LOCMI^Chitin_bind_4^sigP^Tm2
LOC118262064	LOC118262064^sigP^Tm1
LOC118262065	LOC118262065^Tm2
LOC118262066	LOC118262066^INT5_DROME^INTS5_N^Tm1
LOC118262067	LOC118262067^ELVL1_AEDAE^ELO^Tm7
LOC118262068	LOC118262068^SETD4_MOUSE^SET
LOC118262069	LOC118262069^HARB1_DANRE^Plant_tran^Tm1
LOC118262070	LOC118262070^Myb_DNA-bind_5^Tm1
LOC118262071	LOC118262071^CU18B_LOCMI^Chitin_bind_4^sigP
LOC118262072	LOC118262072^CU19_LOCMI^Chitin_bind_4^sigP
LOC118262073	LOC118262073^IF4E_DROME^IF4E
LOC118262074	LOC118262074^MINP1_DROME^His_Phos_2^sigP
LOC118262075	LOC118262075^MKNK1_MOUSE^Pkinase^sigP
LOC118262076	LOC118262076^HAKAI_DROME^zf_Hakai
LOC118262077	LOC118262077^PERO_DROME^An_peroxidase^sigP
LOC118262078	LOC118262078^GSTT1_MANSE^GST_N^Tm1
LOC118262079	LOC118262079^EBP2_DROME^Ebp2
LOC118262080	LOC118262080^Dppa2_A^sigP^Tm3
LOC118262081	LOC118262081^FOXN1_HUMAN^Forkhead^Tm1
LOC118262082	LOC118262082^RDH13_HUMAN^adh_short^Tm1
LOC118262083	LOC118262083^ELVL1_AEDAE^ELO^Tm1
LOC118262084	LOC118262084^CPN2_MOUSE^LRC15_MOUSE^LRR_8^sigP
LOC118262085	LOC118262085^ACSA_DROME^ACAS_N^RHIM
LOC118262086	LOC118262086^RBM46_MOUSE^RRM_1^Tm1
LOC118262087	LOC118262087^CUD6_SCHGR^Chitin_bind_4^sigP
LOC118262088	LOC118262088^7tm_1^Tm5
LOC118262089	LOC118262089^OSGP2_RAT^TsaD^sigP^Tm1
LOC118262091	LOC118262091^PLCC_HUMAN^Acyltransferase^Tm1
LOC118262092	LOC118262092^OSTM1_MOUSE^OSTMP1^sigP^Tm1
LOC118262093	LOC118262093^Y2R2_DROME
LOC118262094	LOC118262094^PEX2_CRIGR^Pex2_Pex12^Tm1
LOC118262095	LOC118262095^EAF6_CHICK^EAF6_HUMAN^NuA4^Tm2
LOC118262096	LOC118262096^GDL_DROME^DGCR6
LOC118262097	LOC118262097^CU19_LOCMI^Chitin_bind_4^sigP^Tm1
LOC118262098	LOC118262098^sigP
LOC118262099	LOC118262099^sigP^Tm1
LOC118262100	LOC118262100^sigP^Tm1
LOC118262101	LOC118262101^sigP^Tm1
LOC118262102	LOC118262102^sigP^Tm1
LOC118262104	LOC118262104^DYHC2_PLAF7^sigP^Tm1
LOC118262105	LOC118262105^STAN_DROME^Cadherin^sigP^Tm8
LOC118262106	LOC118262106^CAPSL_MOUSE^EF-hand_7^sigP
LOC118262108	LOC118262108^TSR3_HUMAN^RLI^Tm1
LOC118262109	LOC118262109^ELOV7_MOUSE^ELO^Tm1
LOC118262110	LOC118262110^CO4A1_CAEEL^Collagen^Tm46
LOC118262111	LOC118262111^LTMD1_HUMAN^LETM1_RBD^Tm1
LOC118262114	LOC118262114^sigP
LOC118262115	LOC118262115^MINP1_DROME^His_Phos_2^sigP
LOC118262117	LOC118262117^DHR13_BOVIN^RDH13_HUMAN^adh_short^sigP^Tm2
LOC118262118	LOC118262118^Trypsin^sigP^Tm1
LOC118262119	LOC118262119^DOCK4_HUMAN^DOCK3_HUMAN^DOCK_N^sigP
LOC118262120	LOC118262120^INX3_DROME^Innexin^Tm4
LOC118262121	LOC118262121^YLAT2_MOUSE^YLAT2_HUMAN^AA_permease_2^sigP^Tm1
LOC118262123	LOC118262123^SPZ2_DROME^Spaetzle^sigP^Tm2
